X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0035,0.0335,0,4.000809207
0.0035,0.0335,0.003,2.123851396
0.0035,0.0345,0,3.901998658
0.0035,0.0345,0.003,1.995375554
0.0035,0.0355,0,3.797968728
0.0035,0.0355,0.003,1.891116695
0.0035,0.0365,0,3.675318282
0.0035,0.0365,0.003,1.873253657
0.0035,0.0375,0,3.552667836
0.0035,0.0375,0.003,1.855390619
0.0035,0.0385,0,3.43001739
0.0035,0.0385,0.003,1.837527581
0.0035,0.0395,0,3.299990722
0.0035,0.0395,0.003,1.83893303
0.0035,0.0405,0,3.152665249
0.0035,0.0405,0.003,1.885527166
0.0035,0.0415,0,3.005339776
0.0035,0.0415,0.003,1.932121301
0.0035,0.0425,0,2.858014302
0.0035,0.0425,0.003,1.978715436
0.0035,0.0435,0,2.72218679
0.0035,0.0435,0.003,2.009668699
0.0035,0.0445,0,2.605204172
0.0035,0.0445,0.003,2.014986935
0.0035,0.0455,0,2.488221553
0.0035,0.0455,0.003,2.020305171
0.0035,0.0465,0,2.371238934
0.0035,0.0465,0.003,2.025623407
0.0035,0.0475,0,2.281987834
0.0035,0.0475,0.003,2.008233002
0.0035,0.0485,0,2.225431061
0.0035,0.0485,0.003,1.96407004
0.0035,0.0495,0,2.168874288
0.0035,0.0495,0.003,1.919907078
0.0035,0.0505,0,2.112317515
0.0035,0.0505,0.003,1.875744116
0.0035,0.0515,0,2.099081646
0.0035,0.0515,0.003,1.850802653
0.0035,0.0525,0,2.122907344
0.0035,0.0525,0.003,1.842305419
0.0035,0.0535,0,2.146733041
0.0035,0.0535,0.003,1.833808185
0.0035,0.0545,0,2.170558738
0.0035,0.0545,0.003,1.82531095
0.0035,0.0555,0,2.2275567
0.0035,0.0555,0.003,1.872446739
0.0035,0.0565,0,2.304978139
0.0035,0.0565,0.003,1.953834626
0.0035,0.0575,0,2.382399578
0.0035,0.0575,0.003,2.035222514
0.0035,0.0585,0,2.459821017
0.0035,0.0585,0.003,2.116610401
0.0035,0.0595,0,2.540711531
0.0035,0.0595,0.003,2.235520147
0.0035,0.0605,0,2.623096345
0.0035,0.0605,0.003,2.370592388
0.0035,0.0615,0,2.705481158
0.0035,0.0615,0.003,2.505664629
0.0035,0.0625,0,2.787865972
